Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,date,rating,Initial,Name_length,Title,Family_Size,Name_scaled,Title2,Title_train,W_Master,Age_cut1,Age_band,CategoricalAge,FareCut,Fare_scale,Sex_bool,Has_Cabin,IsAlone,Embarkedch,Title2ch
22,0,7.25,0,3,0,1,0,03/23/2009,5,Mr,23,Mr,2,-0.434672231,Mr,1,1,2,0,"(16.136, 32.102]",0,7.25,0,0,0,1,2
38,1,71.2833,0,1,1,1,1,03/26/2015,3,Mrs,51,Mrs,2,2.511805781,Mrs,3,1,3,0,"(32.102, 48.068]",3,71.28,1,1,0,2,3
26,0,7.925,0,3,1,0,1,01/07/2007,3,Miss,22,Miss,1,-0.539903589,Miss,2,1,2,0,"(16.136, 32.102]",1,7.92,1,0,1,1,1
35,0,53.1,0,1,1,1,1,04/18/2005,4,Mrs,44,Mrs,2,1.775186278,Mrs,3,1,3,0,"(32.102, 48.068]",3,53.1,1,1,0,1,3
35,0,8.05,0,3,0,0,0,02/25/2009,5,Mr,24,Mr,1,-0.329440873,Mr,1,1,3,0,"(32.102, 48.068]",1,8.05,0,0,1,1,2
54,0,51.8625,0,1,0,0,0,06/04/2014,5,Mr,23,Mr,1,-0.434672231,Mr,1,1,4,0,"(48.068, 64.034]",3,51.86,0,1,1,1,2
2,0,21.075,1,3,0,3,0,07/06/2015,5,Master,30,Master,5,0.301947272,Master,4,0,1,0,"(0.0902, 16.136]",2,21.07,0,0,0,1,0
27,0,11.1333,2,3,1,0,1,11/22/2002,4,Mrs,49,Mrs,3,2.301343066,Mrs,3,1,2,0,"(16.136, 32.102]",1,11.13,1,0,0,1,3
14,1,30.0708,0,2,1,1,1,03/08/2004,4,Mrs,35,Mrs,2,0.82810406,Mrs,3,1,1,0,"(0.0902, 16.136]",2,30.07,1,0,0,2,3
4,0,16.7,1,3,1,1,1,09/12/2014,5,Miss,31,Miss,3,0.40717863,Miss,2,1,1,0,"(0.0902, 16.136]",2,16.7,1,1,0,1,1
58,0,26.55,0,1,1,0,1,03/24/2011,4,Miss,24,Miss,1,-0.329440873,Miss,2,1,4,0,"(48.068, 64.034]",2,26.55,1,1,1,1,1
20,0,8.05,0,3,0,0,0,09/17/2003,4,Mr,30,Mr,1,0.301947272,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
39,0,31.275,5,3,0,1,0,11/09/2012,4,Mr,27,Mr,7,-0.013746801,Mr,1,1,3,0,"(32.102, 48.068]",3,31.27,0,0,0,1,2
14,0,7.8542,0,3,1,0,0,03/08/2003,5,Miss,36,Miss,1,0.933335418,Miss,2,1,1,0,"(0.0902, 16.136]",0,7.85,1,0,1,1,1
55,0,16,0,2,1,0,1,04/14/2005,4,Mrs,32,Mrs,1,0.512409987,Mrs,3,1,4,0,"(48.068, 64.034]",2,16,1,0,1,1,3
2,2,29.125,1,3,0,4,0,05/25/2010,3,Master,20,Master,6,-0.750366304,Master,4,0,1,0,"(0.0902, 16.136]",2,29.12,0,0,0,3,0
31,0,18,0,3,1,1,0,12/08/2002,5,Mrs,55,Mrs,2,2.932731212,Mrs,3,1,2,0,"(16.136, 32.102]",2,18,1,0,0,1,3
35,0,26,0,2,0,0,0,08/04/2007,3,Mr,20,Mr,1,-0.750366304,Mr,1,1,3,0,"(32.102, 48.068]",2,26,0,0,1,1,2
34,0,13,0,2,0,0,1,04/26/2015,3,Mr,21,Mr,1,-0.645134946,Mr,1,1,3,0,"(32.102, 48.068]",1,13,0,1,1,1,2
15,2,8.0292,0,3,1,0,1,01/09/2011,5,Miss,27,Miss,1,-0.013746801,Miss,2,1,1,0,"(0.0902, 16.136]",1,8.03,1,0,1,3,1
28,0,35.5,0,1,0,0,1,07/13/2012,5,Mr,28,Mr,1,0.091484557,Mr,1,1,2,0,"(16.136, 32.102]",3,35.5,0,1,1,1,2
8,0,21.075,1,3,1,3,0,02/12/2015,3,Miss,29,Miss,5,0.196715914,Miss,2,1,1,0,"(0.0902, 16.136]",2,21.07,1,0,0,1,1
38,0,31.3875,5,3,1,1,1,10/08/2002,5,Mrs,57,Mrs,7,3.143193927,Mrs,3,1,3,0,"(32.102, 48.068]",3,31.39,1,0,0,1,3
19,0,263,2,1,0,3,0,04/10/2003,4,Mr,30,Mr,6,0.301947272,Mr,1,1,2,0,"(16.136, 32.102]",3,263,0,1,0,1,2
40,1,27.7208,0,1,0,0,0,08/09/2012,4,Don,24,Royalty,1,-0.329440873,Rare,5,1,3,0,"(32.102, 48.068]",2,27.72,0,0,1,2,4
66,0,10.5,0,2,0,0,0,10/30/2004,4,Mr,21,Mr,1,-0.645134946,Mr,1,1,5,0,"(64.034, 80.0]",1,10.5,0,0,1,1,2
28,1,82.1708,0,1,0,1,0,06/03/2008,4,Mr,23,Mr,2,-0.434672231,Mr,1,1,2,0,"(16.136, 32.102]",3,82.17,0,0,0,2,2
42,0,52,0,1,0,1,0,08/16/2009,4,Mr,30,Mr,2,0.301947272,Mr,1,1,3,0,"(32.102, 48.068]",3,52,0,0,0,1,2
21,0,8.05,0,3,0,0,0,01/08/2002,5,Mr,24,Mr,1,-0.329440873,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
18,0,18,0,3,1,2,0,01/30/2014,4,Miss,34,Miss,3,0.722872702,Miss,2,1,2,0,"(16.136, 32.102]",2,18,1,0,0,1,1
14,1,11.2417,0,3,1,1,1,11/15/2002,5,Miss,27,Miss,2,-0.013746801,Miss,2,1,1,0,"(0.0902, 16.136]",1,11.24,1,0,0,2,1
40,0,9.475,0,3,1,1,0,11/12/2011,5,Mrs,46,Mrs,2,1.985648993,Mrs,3,1,3,0,"(32.102, 48.068]",1,9.47,1,0,0,1,3
27,0,21,0,2,1,1,0,03/01/2003,5,Mrs,56,Mrs,2,3.037962569,Mrs,3,1,2,0,"(16.136, 32.102]",2,21,1,0,0,1,3
3,1,41.5792,2,2,1,1,1,01/03/2004,4,Miss,40,Miss,4,1.354260848,Miss,2,1,1,0,"(0.0902, 16.136]",3,41.58,1,0,0,2,1
19,2,7.8792,0,3,1,0,1,02/03/2009,4,Miss,29,Miss,1,0.196715914,Miss,2,1,2,0,"(16.136, 32.102]",0,7.88,1,0,1,3,1
18,0,17.8,0,3,1,1,0,08/15/2008,4,Mrs,45,Mrs,2,1.880417636,Mrs,3,1,2,0,"(16.136, 32.102]",2,17.8,1,0,0,1,3
7,0,39.6875,1,3,0,4,0,10/31/2005,4,Master,26,Master,6,-0.118978158,Master,4,0,1,0,"(0.0902, 16.136]",3,39.69,0,0,0,1,0
21,0,7.8,0,3,0,0,0,12/27/2008,4,Mr,28,Mr,1,0.091484557,Mr,1,1,2,0,"(16.136, 32.102]",0,7.8,0,0,1,1,2
49,1,76.7292,0,1,1,1,1,08/12/2013,4,Mrs,40,Mrs,2,1.354260848,Mrs,3,1,4,0,"(48.068, 64.034]",3,76.73,1,1,0,2,3
29,0,26,0,2,1,1,1,04/05/2015,5,Mrs,50,Mrs,2,2.406574424,Mrs,3,1,2,0,"(16.136, 32.102]",2,26,1,0,0,1,3
65,1,61.9792,1,1,0,0,0,08/28/2012,4,Mr,30,Mr,2,0.301947272,Mr,1,1,5,0,"(64.034, 80.0]",3,61.98,0,1,0,2,2
21,0,10.5,0,2,1,0,1,11/09/2014,3,Miss,17,Miss,1,-1.066060377,Miss,2,1,2,0,"(16.136, 32.102]",1,10.5,1,0,1,1,1
28.5,1,7.2292,0,3,0,0,0,06/14/2014,4,Mr,19,Mr,1,-0.855597661,Mr,1,1,2,0,"(16.136, 32.102]",0,7.23,0,0,1,2,2
5,0,27.75,2,2,1,1,1,01/06/2004,4,Miss,28,Miss,4,0.091484557,Miss,2,1,1,0,"(0.0902, 16.136]",2,27.75,1,0,0,1,1
11,0,46.9,2,3,0,5,0,09/21/2015,5,Master,34,Master,8,0.722872702,Master,4,0,1,0,"(0.0902, 16.136]",3,46.9,0,0,0,1,0
22,1,7.2292,0,3,0,0,0,01/26/2011,3,Mr,21,Mr,1,-0.645134946,Mr,1,1,2,0,"(16.136, 32.102]",0,7.23,0,0,1,2,2
38,-1,80,0,1,1,0,1,11/11/2006,3,Miss,19,Miss,1,-0.855597661,Miss,2,1,3,0,"(32.102, 48.068]",3,80,1,1,1,0,1
45,0,83.475,0,1,0,1,0,10/05/2001,3,Mr,27,Mr,2,-0.013746801,Mr,1,1,3,0,"(32.102, 48.068]",3,83.47,0,1,0,1,2
4,0,27.9,2,3,0,3,0,09/28/2015,5,Master,21,Master,6,-0.645134946,Master,4,0,1,0,"(0.0902, 16.136]",2,27.9,0,0,0,1,0
29,0,10.5,0,2,1,0,1,08/26/2004,3,Mrs,28,Mrs,1,0.091484557,Mrs,3,1,2,0,"(16.136, 32.102]",1,10.5,1,1,1,1,3
19,0,8.1583,0,3,0,0,0,01/26/2009,2,Mr,24,Mr,1,-0.329440873,Mr,1,1,2,0,"(16.136, 32.102]",1,8.16,0,0,1,1,2
17,0,7.925,2,3,1,4,1,12/03/2011,5,Miss,31,Miss,7,0.40717863,Miss,2,1,2,0,"(16.136, 32.102]",1,7.92,1,0,0,1,1
26,0,8.6625,0,3,0,2,0,07/22/2015,3,Mr,17,Mr,3,-1.066060377,Mr,1,1,2,0,"(16.136, 32.102]",1,8.66,0,0,0,1,2
32,0,10.5,0,2,0,0,0,03/05/2013,4,Mr,26,Mr,1,-0.118978158,Mr,1,1,3,0,"(16.136, 32.102]",1,10.5,0,0,1,1,2
16,0,46.9,2,3,1,5,0,10/02/2008,3,Miss,26,Miss,8,-0.118978158,Miss,2,1,2,0,"(0.0902, 16.136]",3,46.9,1,0,0,1,1
21,0,73.5,0,2,0,0,0,10/06/2006,4,Mr,20,Mr,1,-0.750366304,Mr,1,1,2,0,"(16.136, 32.102]",3,73.5,0,0,1,1,2
26,1,14.4542,0,3,0,1,0,12/17/2008,2,Mr,27,Mr,2,-0.013746801,Mr,1,1,2,0,"(16.136, 32.102]",2,14.45,0,0,0,2,2
32,0,56.4958,0,3,0,0,1,06/25/2003,3,Mr,13,Mr,1,-1.486985807,Mr,1,1,3,0,"(16.136, 32.102]",3,56.5,0,0,1,1,2
25,0,7.65,0,3,0,0,0,09/22/2004,2,Mr,23,Mr,1,-0.434672231,Mr,1,1,2,0,"(16.136, 32.102]",0,7.65,0,1,1,1,2
0.83,0,29,2,2,0,0,1,07/10/2006,3,Master,29,Master,3,0.196715914,Master,4,0,1,0,"(0.0902, 16.136]",2,29,0,0,0,1,0
30,0,12.475,0,3,1,0,1,10/28/2010,5,Miss,24,Miss,1,-0.329440873,Miss,2,1,2,0,"(16.136, 32.102]",1,12.47,1,0,1,1,1
22,0,9,0,3,0,0,0,02/02/2002,3,Mr,20,Mr,1,-0.750366304,Mr,1,1,2,0,"(16.136, 32.102]",1,9,0,0,1,1,2
29,0,9.5,0,3,0,0,1,09/26/2001,5,Mr,27,Mr,1,-0.013746801,Mr,1,1,2,0,"(16.136, 32.102]",1,9.5,0,0,1,1,2
28,0,47.1,0,1,0,0,0,09/15/2009,2,Mr,23,Mr,1,-0.434672231,Mr,1,1,2,0,"(16.136, 32.102]",3,47.1,0,0,1,1,2
17,0,10.5,0,2,1,0,1,09/22/2011,4,Miss,19,Miss,1,-0.855597661,Miss,2,1,2,0,"(16.136, 32.102]",1,10.5,1,0,1,1,1
33,0,15.85,0,3,1,3,1,10/20/2003,5,Mrs,55,Mrs,4,2.932731212,Mrs,3,1,3,0,"(32.102, 48.068]",2,15.85,1,0,0,1,3
16,0,34.375,3,3,0,1,0,10/29/2009,5,Mr,22,Mr,5,-0.539903589,Mr,1,1,2,0,"(0.0902, 16.136]",3,34.38,0,0,0,1,2
23,0,263,2,1,1,3,1,06/15/2002,5,Miss,26,Miss,6,-0.118978158,Miss,2,1,2,0,"(16.136, 32.102]",3,263,1,1,0,1,1
24,0,8.05,0,3,0,0,0,05/21/2012,4,Mr,22,Mr,1,-0.539903589,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
29,0,8.05,0,3,0,0,0,06/29/2015,4,Mr,20,Mr,1,-0.750366304,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
20,0,7.8542,0,3,0,0,0,09/23/2012,2,Mr,26,Mr,1,-0.118978158,Mr,1,1,2,0,"(16.136, 32.102]",0,7.85,0,0,1,1,2
46,0,61.175,0,1,0,1,0,12/09/2002,3,Mr,27,Mr,2,-0.013746801,Mr,1,1,3,0,"(32.102, 48.068]",3,61.17,0,1,0,1,2
26,0,20.575,2,3,0,1,0,09/14/2013,5,Mr,23,Mr,4,-0.434672231,Mr,1,1,2,0,"(16.136, 32.102]",2,20.57,0,0,0,1,2
59,0,7.25,0,3,0,0,0,12/14/2005,3,Mr,17,Mr,1,-1.066060377,Mr,1,1,4,0,"(48.068, 64.034]",0,7.25,0,0,1,1,2
71,1,34.6542,0,1,0,0,0,07/26/2005,4,Mr,25,Mr,1,-0.224209516,Mr,1,1,5,0,"(64.034, 80.0]",3,34.65,0,1,1,2,2
23,1,63.3583,1,1,0,0,1,11/25/2013,5,Mr,31,Mr,2,0.40717863,Mr,1,1,2,0,"(16.136, 32.102]",3,63.36,0,1,0,2,2
34,0,23,1,2,1,0,1,01/27/2008,4,Mrs,36,Mrs,2,0.933335418,Mrs,3,1,3,0,"(32.102, 48.068]",2,23,1,0,0,1,3
34,0,26,0,2,0,1,0,11/10/2001,3,Mr,17,Mr,2,-1.066060377,Mr,1,1,3,0,"(32.102, 48.068]",2,26,0,0,0,1,2
28,0,7.8958,0,3,1,0,0,04/16/2004,3,Miss,23,Miss,1,-0.434672231,Miss,2,1,2,0,"(16.136, 32.102]",0,7.9,1,0,1,1,1
21,0,77.2875,1,1,0,0,0,11/29/2012,5,Mr,25,Mr,2,-0.224209516,Mr,1,1,2,0,"(16.136, 32.102]",3,77.29,0,1,0,1,2
33,0,8.6542,0,3,0,0,0,08/09/2013,4,Mr,26,Mr,1,-0.118978158,Mr,1,1,3,0,"(32.102, 48.068]",1,8.65,0,0,1,1,2
37,0,7.925,0,3,0,2,0,04/01/2004,4,Mr,30,Mr,3,0.301947272,Mr,1,1,3,0,"(32.102, 48.068]",1,7.92,0,0,0,1,2
28,0,7.8958,0,3,0,0,0,02/04/2006,4,Mr,21,Mr,1,-0.645134946,Mr,1,1,2,0,"(16.136, 32.102]",0,7.9,0,0,1,1,2
21,0,7.65,0,3,1,0,1,07/06/2001,5,Miss,32,Miss,1,0.512409987,Miss,2,1,2,0,"(16.136, 32.102]",0,7.65,1,0,1,1,1
38,0,7.8958,0,3,0,0,0,12/09/2003,5,Mr,15,Mr,1,-1.276523092,Mr,1,1,3,0,"(32.102, 48.068]",0,7.9,0,0,1,1,2
47,0,52,0,1,0,0,0,10/24/2002,3,Mr,30,Mr,1,0.301947272,Mr,1,1,3,0,"(32.102, 48.068]",3,52,0,1,1,1,2
14.5,1,14.4542,0,3,1,1,0,03/31/2007,4,Miss,20,Miss,2,-0.750366304,Miss,2,1,1,0,"(0.0902, 16.136]",2,14.45,1,0,0,2,1
22,0,8.05,0,3,0,0,0,12/06/2001,3,Mr,22,Mr,1,-0.539903589,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
20,0,9.825,0,3,1,1,0,12/26/2006,3,Miss,23,Miss,2,-0.434672231,Miss,2,1,2,0,"(16.136, 32.102]",1,9.82,1,0,0,1,1
17,1,14.4583,0,3,1,0,0,02/14/2006,2,Miss,21,Miss,1,-0.645134946,Miss,2,1,2,0,"(16.136, 32.102]",2,14.46,1,0,1,2,1
21,0,7.925,0,3,0,0,0,09/21/2014,5,Mr,21,Mr,1,-0.645134946,Mr,1,1,2,0,"(16.136, 32.102]",1,7.92,0,0,1,1,2
70.5,2,7.75,0,3,0,0,0,04/06/2003,4,Mr,20,Mr,1,-0.750366304,Mr,1,1,5,0,"(64.034, 80.0]",0,7.75,0,0,1,3,2
29,0,21,0,2,0,1,0,11/09/2011,5,Mr,31,Mr,2,0.40717863,Mr,1,1,2,0,"(16.136, 32.102]",2,21,0,0,0,1,2
24,1,247.5208,1,1,0,0,0,12/04/2006,3,Mr,24,Mr,2,-0.329440873,Mr,1,1,2,0,"(16.136, 32.102]",3,247.52,0,1,0,2,2
2,0,31.275,2,3,1,4,0,06/15/2003,5,Miss,33,Miss,7,0.617641345,Miss,2,1,1,0,"(0.0902, 16.136]",3,31.27,1,0,0,1,1
21,0,73.5,0,2,0,2,0,08/31/2004,5,Mr,27,Mr,3,-0.013746801,Mr,1,1,2,0,"(16.136, 32.102]",3,73.5,0,0,0,1,2
32.5,1,30.0708,0,2,0,1,0,04/09/2014,3,Mr,20,Mr,2,-0.750366304,Mr,1,1,3,0,"(32.102, 48.068]",2,30.07,0,0,0,2,2
32.5,0,13,0,2,1,0,1,12/15/2001,4,Miss,19,Miss,1,-0.855597661,Miss,2,1,3,0,"(32.102, 48.068]",1,13,1,1,1,1,1
54,0,77.2875,1,1,0,0,0,03/13/2008,4,Mr,27,Mr,2,-0.013746801,Mr,1,1,4,0,"(48.068, 64.034]",3,77.29,0,1,0,1,2
12,1,11.2417,0,3,0,1,1,12/08/2001,2,Master,28,Master,2,0.091484557,Master,4,0,1,0,"(0.0902, 16.136]",1,11.24,0,0,0,2,0
24,0,7.1417,0,3,0,0,1,12/08/2008,5,Mr,25,Mr,1,-0.224209516,Mr,1,1,2,0,"(16.136, 32.102]",0,7.14,0,0,1,1,2
45,0,6.975,0,3,0,0,0,06/29/2004,4,Mr,18,Mr,1,-0.960829019,Mr,1,1,3,0,"(32.102, 48.068]",0,6.97,0,0,1,1,2
33,1,7.8958,0,3,0,0,0,10/10/2015,4,Mr,20,Mr,1,-0.750366304,Mr,1,1,3,0,"(32.102, 48.068]",0,7.9,0,0,1,2,2
20,0,7.05,0,3,0,0,0,02/09/2006,5,Mr,30,Mr,1,0.301947272,Mr,1,1,2,0,"(16.136, 32.102]",0,7.05,0,0,1,1,2
47,0,14.5,0,3,1,1,0,08/16/2015,3,Mrs,46,Mrs,2,1.985648993,Mrs,3,1,3,0,"(32.102, 48.068]",2,14.5,1,0,0,1,3
29,0,26,0,2,1,1,1,12/14/2003,2,Mrs,45,Mrs,2,1.880417636,Mrs,3,1,2,0,"(16.136, 32.102]",2,26,1,0,0,1,3
25,0,13,0,2,0,0,0,10/27/2012,3,Mr,30,Mr,1,0.301947272,Mr,1,1,2,0,"(16.136, 32.102]",1,13,0,0,1,1,2
23,1,15.0458,0,2,0,0,0,01/15/2010,4,Mr,18,Mr,1,-0.960829019,Mr,1,1,2,0,"(16.136, 32.102]",2,15.05,0,0,1,2,2
19,0,26.2833,2,1,1,0,1,09/14/2004,3,Miss,28,Miss,3,0.091484557,Miss,2,1,2,0,"(16.136, 32.102]",2,26.28,1,1,0,1,1
37,0,53.1,0,1,0,1,0,06/08/2011,4,Mr,27,Mr,2,-0.013746801,Mr,1,1,3,0,"(32.102, 48.068]",3,53.1,0,1,0,1,2
16,0,9.2167,0,3,0,0,0,01/09/2015,3,Mr,19,Mr,1,-0.855597661,Mr,1,1,2,0,"(0.0902, 16.136]",1,9.22,0,0,1,1,2
24,1,79.2,0,1,0,0,0,02/28/2005,4,Mr,18,Mr,1,-0.960829019,Mr,1,1,2,0,"(16.136, 32.102]",3,79.2,0,1,1,2,2
22,0,7.75,0,3,1,0,1,11/25/2015,3,Miss,24,Miss,1,-0.329440873,Miss,2,1,2,0,"(16.136, 32.102]",0,7.75,1,0,1,1,1
24,0,15.85,0,3,1,1,1,06/27/2009,5,Mrs,52,Mrs,2,2.617037139,Mrs,3,1,2,0,"(16.136, 32.102]",2,15.85,1,0,0,1,3
19,2,6.75,0,3,0,0,0,09/15/2004,4,Mr,19,Mr,1,-0.855597661,Mr,1,1,2,0,"(16.136, 32.102]",0,6.75,0,0,1,3,2
18,0,11.5,0,2,0,0,0,05/31/2005,3,Mr,26,Mr,1,-0.118978158,Mr,1,1,2,0,"(16.136, 32.102]",1,11.5,0,0,1,1,2
19,0,36.75,1,2,0,1,0,04/04/2010,5,Mr,28,Mr,3,0.091484557,Mr,1,1,2,0,"(16.136, 32.102]",3,36.75,0,0,0,1,2
27,0,7.7958,0,3,0,0,1,06/01/2013,5,Mr,44,Mr,1,1.775186278,Mr,1,1,2,0,"(16.136, 32.102]",0,7.8,0,0,1,1,2
9,0,34.375,2,3,1,2,0,01/23/2010,4,Miss,32,Miss,5,0.512409987,Miss,2,1,1,0,"(0.0902, 16.136]",3,34.38,1,0,0,1,1
36.5,0,26,2,2,0,0,0,11/05/2006,1,Mr,40,Mr,3,1.354260848,Mr,1,1,3,0,"(32.102, 48.068]",2,26,0,1,0,1,2
42,0,13,0,2,0,0,0,08/27/2003,3,Rev,33,Officer,1,0.617641345,Rare,5,1,3,0,"(32.102, 48.068]",1,13,0,0,1,1,4
51,0,12.525,0,2,0,0,0,10/09/2012,3,Rev,26,Officer,1,-0.118978158,Rare,5,1,4,0,"(48.068, 64.034]",1,12.53,0,0,1,1,4
22,0,66.6,0,1,1,1,1,01/31/2012,2,Mrs,33,Mrs,2,0.617641345,Mrs,3,1,2,0,"(16.136, 32.102]",3,66.6,1,1,0,1,3
55.5,0,8.05,0,3,0,0,0,12/20/2002,5,Mr,16,Mr,1,-1.171291734,Mr,1,1,4,0,"(48.068, 64.034]",1,8.05,0,0,1,1,2
40.5,0,14.5,2,3,0,0,0,09/07/2012,5,Mr,31,Mr,3,0.40717863,Mr,1,1,3,0,"(32.102, 48.068]",2,14.5,0,0,0,1,2
51,1,61.3792,1,1,0,0,0,10/08/2013,4,Mr,27,Mr,2,-0.013746801,Mr,1,1,4,0,"(48.068, 64.034]",3,61.38,0,0,0,2,2
16,2,7.7333,0,3,1,0,1,01/06/2002,4,Miss,32,Miss,1,0.512409987,Miss,2,1,2,0,"(0.0902, 16.136]",0,7.73,1,0,1,3,1
30,0,8.05,0,3,0,0,0,02/21/2009,5,Mr,15,Mr,1,-1.276523092,Mr,1,1,2,0,"(16.136, 32.102]",1,8.05,0,0,1,1,2
44,0,16.1,1,3,0,0,0,04/17/2012,4,Mr,24,Mr,2,-0.329440873,Mr,1,1,3,0,"(32.102, 48.068]",2,16.1,0,0,0,1,2
40,0,15.75,0,2,1,0,1,04/22/2007,3,Mrs,50,Mrs,1,2.406574424,Mrs,3,1,3,0,"(32.102, 48.068]",2,15.75,1,0,1,1,3
26,0,7.775,0,3,0,0,0,11/25/2009,4,Mr,26,Mr,1,-0.118978158,Mr,1,1,2,0,"(16.136, 32.102]",0,7.78,0,0,1,1,2
17,0,8.6625,0,3,0,0,0,08/09/2001,4,Mr,15,Mr,1,-1.276523092,Mr,1,1,2,0,"(16.136, 32.102]",1,8.66,0,0,1,1,2
1,0,39.6875,1,3,0,4,0,10/21/2003,3,Master,28,Master,6,0.091484557,Master,4,0,1,0,"(0.0902, 16.136]",3,39.69,0,0,0,1,0
9,0,20.525,2,3,0,0,1,03/01/2003,3,Master,47,Master,3,2.090880351,Master,4,0,1,0,"(0.0902, 16.136]",2,20.52,0,0,0,1,0
45,0,27.9,4,3,1,1,0,01/31/2004,5,Mrs,47,Mrs,6,2.090880351,Mrs,3,1,3,0,"(32.102, 48.068]",2,27.9,1,0,0,1,3
28,0,56.4958,0,3,0,0,0,02/12/2012,5,Mr,13,Mr,1,-1.486985807,Mr,1,1,2,0,"(16.136, 32.102]",3,56.5,0,0,1,1,2
61,0,33.5,0,1,0,0,0,06/14/2008,4,Mr,25,Mr,1,-0.224209516,Mr,1,1,4,0,"(48.068, 64.034]",3,33.5,0,1,1,1,2
4,2,29.125,1,3,0,4,0,10/28/2002,3,Master,20,Master,6,-0.750366304,Master,4,0,1,0,"(0.0902, 16.136]",2,29.12,0,0,0,3,0
1,0,11.1333,1,3,1,1,1,07/09/2009,5,Miss,28,Miss,3,0.091484557,Miss,2,1,1,0,"(0.0902, 16.136]",1,11.13,1,0,0,1,1
21,0,7.925,0,3,0,0,0,10/02/2009,4,Mr,25,Mr,1,-0.224209516,Mr,1,1,2,0,"(16.136, 32.102]",1,7.92,0,0,1,1,2
